num,method,time,distance,pixel
1,convolution,1.3904967308044434,7.29,631
1,sum,0.015515804290771484,7.22,633
10,convolution,1.378136157989502,98.54,114
10,sum,0.016143321990966797,99.20,113
11,convolution,1.3863818645477295,108.71,100
11,sum,0.016346216201782227,110.34,98
12,convolution,1.3693573474884033,118.31,89
12,sum,0.01589655876159668,120.22,87
13,convolution,1.3629660606384277,129.60,78
13,sum,0.016236066818237305,131.86,76
14,convolution,1.3596727848052979,140.31,69
14,sum,0.015686511993408203,142.89,67
15,convolution,1.363039493560791,151.09,61
15,sum,0.01524209976196289,155.47,58
16,convolution,1.3776307106018066,186.16,40
16,sum,0.01706218719482422,190.08,38
17,convolution,1.383352279663086,223.30,23
17,sum,0.018042325973510742,225.77,22
18,convolution,1.3847856521606445,246.79,14
18,sum,0.01607966423034668,258.19,10
2,convolution,1.383662223815918,18.64,498
2,sum,0.015010356903076172,18.80,496
3,convolution,1.3728916645050049,28.66,394
3,sum,0.015486001968383789,29.04,391
4,convolution,1.3687894344329834,39.42,322
4,sum,0.015524625778198242,40.12,318
5,convolution,1.3711676597595215,51.46,258
5,sum,0.015587329864501953,51.66,257
6,convolution,1.3593595027923584,61.14,213
6,sum,0.015906333923339844,61.37,212
7,convolution,1.3778104782104492,69.71,180
7,sum,0.016000032424926758,70.01,179
8,convolution,1.3904545307159424,77.65,156
8,sum,0.016087770462036133,78.41,154
9,convolution,1.3860561847686768,88.14,132
9,sum,0.01599884033203125,88.65,131
